episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
0,54,6.0,1,54,0.949487,0.0,True,False,wall,10.0,6.0,-10.0
1,109,-14.0,0,55,0.948965,0.0,True,False,wall,0.0,-4.0,-10.0
2,149,-17.0,0,40,0.948586,0.0,True,False,wall,0.0,-7.0,-10.0
3,174,-18.0,0,25,0.948348,0.0,True,False,wall,0.0,-8.0,-10.0
4,227,-12.0,0,53,0.947846,0.0,True,False,wall,0.0,-2.0,-10.0
5,269,-17.0,0,42,0.947448,3.2365,True,False,wall,0.0,-7.0,-10.0
6,366,7.0,1,97,0.946529,11.5522,True,False,wall,10.0,7.0,-10.0
7,401,5.0,1,35,0.946198,4.4629,True,False,wall,10.0,5.0,-10.0
8,428,-6.0,0,27,0.945943,3.3581,True,False,wall,0.0,4.0,-10.0
9,542,-15.0,0,114,0.944865,2.9158,True,False,wall,0.0,-5.0,-10.0
10,566,-15.0,0,24,0.944638,6.1283,True,False,wall,0.0,-5.0,-10.0
11,599,-12.0,0,33,0.944327,2.8623,True,False,wall,0.0,-2.0,-10.0
12,672,-14.0,0,73,0.943637,2.1345,True,False,wall,0.0,-4.0,-10.0
13,772,2.0,1,100,0.942694,2.6425,True,False,wall,10.0,2.0,-10.0
14,794,-9.0,0,22,0.942487,3.6686,True,False,wall,0.0,1.0,-10.0
15,812,-7.0,0,18,0.942317,3.2468,True,False,wall,0.0,3.0,-10.0
16,837,2.0,0,25,0.942082,3.9147,True,False,wall,0.0,12.0,-10.0
17,859,-11.0,0,22,0.941874,3.6927,True,False,wall,0.0,-1.0,-10.0
18,924,-16.0,0,65,0.941262,4.615,True,False,wall,0.0,-6.0,-10.0
19,945,-12.0,0,21,0.941065,2.5555,True,False,wall,0.0,-2.0,-10.0
20,970,-10.0,0,25,0.94083,2.1841,True,False,wall,0.0,0.0,-10.0
21,1069,-8.0,0,99,0.939899,2.0697,True,False,wall,0.0,2.0,-10.0
22,1118,-18.0,0,49,0.939438,1.6406,True,False,wall,0.0,-8.0,-10.0
23,1192,-17.0,0,74,0.938743,1.4109,True,False,wall,0.0,-7.0,-10.0
24,1229,9.0,1,37,0.938396,1.6418,True,False,wall,10.0,9.0,-10.0
25,1268,22.0,2,39,0.93803,1.9461,True,False,wall,20.0,12.0,-10.0
26,1330,-7.0,0,62,0.937449,1.5688,True,False,wall,0.0,3.0,-10.0
27,1351,-14.0,0,21,0.937252,1.3493,True,False,wall,0.0,-4.0,-10.0
28,1413,-23.0,0,62,0.936671,1.4402,True,False,wall,0.0,-13.0,-10.0
29,1457,0.0,1,44,0.936259,1.4043,True,False,wall,10.0,0.0,-10.0
30,1584,-16.0,0,127,0.935071,1.3249,True,False,wall,0.0,-6.0,-10.0
31,1641,-8.0,0,57,0.934538,1.1828,True,False,wall,0.0,2.0,-10.0
32,1671,6.0,1,30,0.934257,1.7567,True,False,wall,10.0,6.0,-10.0
33,1699,-21.0,0,28,0.933996,1.3482,True,False,wall,0.0,-11.0,-10.0
34,1719,-6.0,1,20,0.933809,1.6326,True,False,wall,10.0,-6.0,-10.0
35,1756,-14.0,0,37,0.933464,1.4249,True,False,wall,0.0,-4.0,-10.0
36,1779,-7.0,1,23,0.933249,1.4901,True,False,wall,10.0,-7.0,-10.0
37,1793,-11.0,0,14,0.933118,1.4726,True,False,wall,0.0,-1.0,-10.0
38,1814,-16.0,0,21,0.932922,1.4188,True,False,wall,0.0,-6.0,-10.0
39,1856,-9.0,0,42,0.932531,1.5519,True,False,wall,0.0,1.0,-10.0
40,1870,-13.0,0,14,0.9324,1.6173,True,False,wall,0.0,-3.0,-10.0
41,1896,-23.0,0,26,0.932158,1.4561,True,False,wall,0.0,-13.0,-10.0
42,1945,11.0,1,49,0.931701,1.3992,True,False,wall,10.0,11.0,-10.0
43,2006,-6.0,0,61,0.931133,1.4176,True,False,wall,0.0,4.0,-10.0
44,2019,-16.0,0,13,0.931012,1.1099,True,False,wall,0.0,-6.0,-10.0
45,2048,-6.0,0,29,0.930742,1.1182,True,False,wall,0.0,4.0,-10.0
46,2082,-7.0,0,34,0.930425,1.1813,True,False,wall,0.0,3.0,-10.0
47,2124,-15.0,0,42,0.930035,1.063,True,False,wall,0.0,-5.0,-10.0
48,2153,5.0,1,29,0.929765,0.9705,True,False,wall,10.0,5.0,-10.0
49,2188,-8.0,0,35,0.92944,1.0673,True,False,wall,0.0,2.0,-10.0
50,2208,-21.0,0,20,0.929254,1.0916,True,False,wall,0.0,-11.0,-10.0
51,2251,-10.0,0,43,0.928854,1.1113,True,False,wall,0.0,0.0,-10.0
52,2309,-13.0,0,58,0.928316,1.0367,True,False,wall,0.0,-3.0,-10.0
53,2339,-11.0,0,30,0.928037,1.0479,True,False,wall,0.0,-1.0,-10.0
54,2424,3.0,1,85,0.927249,0.8829,True,False,wall,10.0,3.0,-10.0
55,2540,-1.0,0,116,0.926174,1.0842,True,False,wall,0.0,9.0,-10.0
56,2649,47.0,3,109,0.925165,1.253,True,False,body,30.0,27.0,-10.0
57,2695,-9.0,0,46,0.924739,1.3298,True,False,wall,0.0,1.0,-10.0
58,2755,3.0,0,60,0.924185,1.1291,True,False,wall,0.0,13.0,-10.0
59,2773,-3.0,0,18,0.924018,1.1942,True,False,wall,0.0,7.0,-10.0
60,2786,-18.0,0,13,0.923898,1.2422,True,False,wall,0.0,-8.0,-10.0
61,2812,2.0,1,26,0.923658,1.3788,True,False,wall,10.0,2.0,-10.0
62,2842,-7.0,0,30,0.923381,1.5452,True,False,wall,0.0,3.0,-10.0
63,2873,-12.0,0,31,0.923095,1.5526,True,False,wall,0.0,-2.0,-10.0
64,2981,-15.0,0,108,0.922098,1.4472,True,False,wall,0.0,-5.0,-10.0
65,2993,-5.0,0,12,0.921988,1.5095,True,False,wall,0.0,5.0,-10.0
66,3060,-1.0,1,67,0.92137,1.3159,True,False,wall,10.0,-1.0,-10.0
67,3106,-17.0,0,46,0.920947,1.0427,True,False,wall,0.0,-7.0,-10.0
68,3138,-17.0,0,32,0.920652,1.4155,True,False,wall,0.0,-7.0,-10.0
69,3179,-16.0,0,41,0.920274,1.3663,True,False,wall,0.0,-6.0,-10.0
70,3258,-16.0,0,79,0.919548,1.3286,True,False,wall,0.0,-6.0,-10.0
71,3287,-18.0,0,29,0.919281,1.4184,True,False,wall,0.0,-8.0,-10.0
72,3368,-16.0,0,81,0.918537,1.5217,True,False,wall,0.0,-6.0,-10.0
73,3443,-14.0,0,75,0.917848,1.2768,True,False,wall,0.0,-4.0,-10.0
74,3466,-14.0,0,23,0.917637,1.2511,True,False,wall,0.0,-4.0,-10.0
75,3504,-15.0,0,38,0.917288,1.1637,True,False,wall,0.0,-5.0,-10.0
76,3517,-6.0,0,13,0.917169,1.3886,True,False,wall,0.0,4.0,-10.0
77,3580,-4.0,0,63,0.916592,1.4692,True,False,wall,0.0,6.0,-10.0
78,3691,24.0,2,111,0.915575,1.505,True,False,wall,20.0,14.0,-10.0
79,3709,-17.0,0,18,0.91541,1.5288,True,False,wall,0.0,-7.0,-10.0
80,3783,10.0,1,74,0.914733,1.5284,True,False,wall,10.0,10.0,-10.0
81,3797,-15.0,0,14,0.914605,1.669,True,False,wall,0.0,-5.0,-10.0
82,3811,-15.0,0,14,0.914477,1.4258,True,False,wall,0.0,-5.0,-10.0
83,3910,-16.0,0,99,0.913572,2.2777,True,False,wall,0.0,-6.0,-10.0
84,3938,-15.0,0,28,0.913316,1.3892,True,False,wall,0.0,-5.0,-10.0
85,4045,18.0,2,107,0.912339,1.4854,True,False,wall,20.0,8.0,-10.0
86,4065,-7.0,0,20,0.912157,1.5615,True,False,wall,0.0,3.0,-10.0
87,4238,-20.0,0,173,0.91058,1.6949,True,False,wall,0.0,-10.0,-10.0
88,4372,4.0,1,134,0.909361,1.6653,True,False,wall,10.0,4.0,-10.0
89,4398,-13.0,0,26,0.909124,1.4329,True,False,wall,0.0,-3.0,-10.0
90,4453,-8.0,0,55,0.908625,2.0231,True,False,wall,0.0,2.0,-10.0
91,4477,6.0,1,24,0.908407,1.7779,True,False,wall,10.0,6.0,-10.0
92,4517,-7.0,0,40,0.908043,1.9562,True,False,wall,0.0,3.0,-10.0
93,4587,12.0,1,70,0.907408,1.8386,True,False,wall,10.0,12.0,-10.0
94,4599,-17.0,0,12,0.907299,1.4053,True,False,wall,0.0,-7.0,-10.0
95,4676,-1.0,1,77,0.906601,1.5769,True,False,wall,10.0,-1.0,-10.0
96,4742,-23.0,0,66,0.906002,1.6221,True,False,wall,0.0,-13.0,-10.0
97,4783,-16.0,0,41,0.905631,1.423,True,False,wall,0.0,-6.0,-10.0
98,4824,-24.0,0,41,0.90526,1.5982,True,False,wall,0.0,-14.0,-10.0
