episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum,planner_intervention_count,all_actions_unsafe_count
67,37274,185.0,9,313,0.614799,0.2125,True,False,wall,90.0,105.0,-10.0,11,1
68,37477,107.0,7,203,0.613368,0.1901,True,False,body,70.0,47.0,-10.0,4,1
69,37875,190.0,9,398,0.610572,0.1929,True,False,body,90.0,110.0,-10.0,25,1
70,38214,189.0,11,339,0.608201,0.2046,True,False,body,110.0,89.0,-10.0,14,1
71,38369,130.0,8,155,0.607121,0.2088,True,False,body,80.0,60.0,-10.0,1,1
72,38933,260.0,13,564,0.603207,0.2036,True,False,body,130.0,140.0,-10.0,33,1
73,39298,220.0,12,365,0.600689,0.2117,True,False,body,120.0,110.0,-10.0,15,1
74,39650,192.0,11,352,0.598271,0.1973,True,False,body,110.0,92.0,-10.0,19,1
75,39879,83.0,5,229,0.596704,0.1931,True,False,body,50.0,43.0,-10.0,8,1
76,40506,364.0,20,627,0.592436,0.217,True,False,body,200.0,174.0,-10.0,26,1
77,40914,250.0,13,408,0.589676,0.2161,True,False,body,130.0,130.0,-10.0,21,1
78,41268,187.0,10,354,0.587294,0.2166,True,False,body,100.0,97.0,-10.0,11,1
79,41466,136.0,9,198,0.585965,0.2212,True,False,body,90.0,56.0,-10.0,9,1
80,41801,216.0,10,335,0.583726,0.2147,True,False,body,100.0,126.0,-10.0,9,1
81,42184,241.0,13,383,0.581177,0.2325,True,False,body,130.0,121.0,-10.0,18,1
82,42514,160.0,9,330,0.57899,0.2411,True,False,body,90.0,80.0,-10.0,11,1
83,42869,219.0,11,355,0.576648,0.2376,True,False,body,110.0,119.0,-10.0,17,1
84,43525,295.0,16,656,0.572347,0.237,True,False,body,160.0,145.0,-10.0,35,1
85,44045,369.0,18,520,0.568963,0.2448,True,False,body,180.0,199.0,-10.0,15,1
86,44282,115.0,7,237,0.567428,0.2339,True,False,body,70.0,55.0,-10.0,6,1
87,44632,216.0,11,350,0.565169,0.2338,True,False,body,110.0,116.0,-10.0,6,1
88,44790,158.0,9,158,0.564152,0.2292,True,False,body,90.0,78.0,-10.0,4,1
89,45142,245.0,14,352,0.561895,0.2433,True,False,body,140.0,115.0,-10.0,10,1
90,45544,305.0,16,402,0.559329,0.2494,True,False,body,160.0,155.0,-10.0,16,1
91,45911,186.0,10,367,0.556998,0.2538,True,False,wall,100.0,96.0,-10.0,10,1
92,46101,128.0,7,190,0.555795,0.2618,True,False,body,70.0,68.0,-10.0,6,1
93,46515,232.0,13,414,0.553185,0.2464,True,False,body,130.0,112.0,-10.0,27,1
94,46928,304.0,18,413,0.550594,0.2352,True,False,body,180.0,134.0,-10.0,10,1
95,47278,230.0,11,350,0.548408,0.2586,True,False,body,110.0,130.0,-10.0,13,1
96,47386,140.0,9,108,0.547736,0.2439,True,False,body,90.0,60.0,-10.0,3,1
97,47670,274.0,17,284,0.545972,0.2495,True,False,body,170.0,114.0,-10.0,13,1
98,47745,45.0,3,75,0.545507,0.2588,True,False,body,30.0,25.0,-10.0,0,1
99,48304,344.0,18,559,0.542057,0.2522,True,False,body,180.0,174.0,-10.0,26,1
100,48685,272.0,14,381,0.539719,0.248,True,False,wall,140.0,142.0,-10.0,10,1
101,48883,130.0,7,198,0.538509,0.2512,True,False,wall,70.0,70.0,-10.0,8,1
102,49230,287.0,15,347,0.536394,0.2695,True,False,body,150.0,147.0,-10.0,10,1
103,49351,120.0,8,121,0.535659,0.2672,True,False,body,80.0,50.0,-10.0,1,1
104,49758,322.0,18,407,0.533195,0.25,True,False,body,180.0,152.0,-10.0,18,1
105,50051,211.0,11,293,0.531428,0.2522,True,False,body,110.0,111.0,-10.0,8,1
106,50544,396.0,20,493,0.528471,0.2711,True,False,body,200.0,206.0,-10.0,17,1
107,51047,307.0,19,503,0.525472,0.254,True,False,body,190.0,127.0,-10.0,26,1
108,51495,310.0,15,448,0.522816,0.2617,True,False,body,150.0,170.0,-10.0,15,1
109,51640,93.0,5,145,0.52196,0.2484,True,False,wall,50.0,53.0,-10.0,3,1
110,51992,296.0,19,352,0.519888,0.2449,True,False,wall,190.0,116.0,-10.0,21,1
111,52283,205.0,11,291,0.518182,0.2503,True,False,body,110.0,105.0,-10.0,10,1
112,52648,233.0,13,365,0.516051,0.2354,True,False,body,130.0,113.0,-10.0,17,1
113,53003,358.0,20,355,0.513987,0.2371,True,False,body,200.0,168.0,-10.0,15,1
114,53446,254.0,12,443,0.511425,0.2389,True,False,body,120.0,144.0,-10.0,24,1
115,53761,254.0,16,315,0.509612,0.2404,True,False,body,160.0,104.0,-10.0,20,1
116,54229,353.0,18,468,0.506931,0.2431,True,False,body,180.0,183.0,-10.0,18,1
117,54703,388.0,21,474,0.504232,0.232,True,False,body,210.0,188.0,-10.0,16,1
118,55059,298.0,15,356,0.502215,0.2289,True,False,body,150.0,158.0,-10.0,16,1
119,55247,164.0,9,188,0.501153,0.2683,True,False,wall,90.0,84.0,-10.0,5,1
120,55638,331.0,17,391,0.498954,0.2393,True,False,body,170.0,171.0,-10.0,13,1
121,55971,207.0,11,333,0.497089,0.2323,True,False,body,110.0,107.0,-10.0,16,1
122,56084,115.0,7,113,0.496458,0.2564,True,False,wall,70.0,55.0,-10.0,1,1
123,56477,324.0,16,393,0.49427,0.2349,True,False,body,160.0,174.0,-10.0,11,1
124,56641,137.0,10,164,0.49336,0.2286,True,False,body,100.0,47.0,-10.0,8,1
125,57006,285.0,15,365,0.491342,0.2333,True,False,body,150.0,145.0,-10.0,9,1
126,57341,236.0,12,335,0.489498,0.2645,True,False,body,120.0,126.0,-10.0,19,1
127,57695,294.0,17,354,0.487557,0.2706,True,False,body,170.0,134.0,-10.0,10,1
128,58088,316.0,18,393,0.485413,0.2661,True,False,wall,180.0,146.0,-10.0,18,1
129,58203,90.0,6,115,0.484787,0.2758,True,False,wall,60.0,40.0,-10.0,5,1
130,58491,243.0,12,288,0.483225,0.268,True,False,body,120.0,133.0,-10.0,15,1
131,59019,421.0,24,528,0.480375,0.2632,True,False,body,240.0,191.0,-10.0,29,1
132,59230,178.0,10,211,0.479242,0.2861,True,False,body,100.0,88.0,-10.0,7,1
133,59633,333.0,17,403,0.477085,0.275,True,False,body,170.0,173.0,-10.0,9,1
134,60137,340.0,17,504,0.474402,0.2764,True,False,body,170.0,180.0,-10.0,26,1
135,60657,410.0,23,520,0.471653,0.2717,True,False,wall,230.0,190.0,-10.0,25,1
136,60806,139.0,7,149,0.470868,0.2656,True,False,body,70.0,79.0,-10.0,7,1
137,61329,394.0,20,523,0.468126,0.2748,True,False,body,200.0,204.0,-10.0,30,1
138,61534,179.0,9,205,0.467056,0.2767,True,False,body,90.0,99.0,-10.0,7,1
139,61690,133.0,8,156,0.466243,0.2584,True,False,body,80.0,63.0,-10.0,2,1
140,62077,312.0,16,387,0.464235,0.2717,True,False,body,160.0,162.0,-10.0,14,1
141,62533,347.0,20,456,0.46188,0.2803,True,False,body,200.0,157.0,-10.0,19,1
142,62760,195.0,9,227,0.460713,0.2679,True,False,body,90.0,115.0,-10.0,6,1
143,62969,175.0,11,209,0.459641,0.2961,True,False,body,110.0,75.0,-10.0,7,1
144,63259,273.0,14,290,0.458159,0.3009,True,False,body,140.0,143.0,-10.0,1,1
145,63466,201.0,11,207,0.457104,0.3002,True,False,body,110.0,101.0,-10.0,8,1
146,63932,450.0,25,466,0.45474,0.2675,True,False,body,250.0,210.0,-10.0,26,1
147,64343,290.0,16,411,0.452666,0.2552,True,False,body,160.0,140.0,-10.0,17,1
148,64623,222.0,11,280,0.451259,0.2453,True,False,body,110.0,122.0,-10.0,6,1
149,64890,229.0,13,267,0.449922,0.2319,True,False,body,130.0,109.0,-10.0,12,1
150,65002,106.0,7,112,0.449363,0.2507,True,False,body,70.0,46.0,-10.0,1,1
151,65544,435.0,24,542,0.446666,0.2695,True,False,body,240.0,205.0,-10.0,15,1
152,66012,375.0,20,468,0.444352,0.2663,True,False,body,200.0,185.0,-10.0,24,1
153,66388,307.0,16,376,0.442503,0.2913,True,False,body,160.0,157.0,-10.0,14,1
154,66869,448.0,22,481,0.44015,0.2833,True,False,body,220.0,238.0,-10.0,23,1
155,67181,271.0,14,312,0.438632,0.2714,True,False,wall,140.0,141.0,-10.0,6,1
156,67383,177.0,10,202,0.437652,0.2651,True,False,body,100.0,87.0,-10.0,7,1
157,67756,303.0,15,373,0.435848,0.2624,True,False,body,150.0,163.0,-10.0,16,1
158,67881,117.0,7,125,0.435246,0.2591,True,False,body,70.0,57.0,-10.0,5,1
159,68212,319.0,17,331,0.433655,0.2594,True,False,body,170.0,159.0,-10.0,12,1
160,68467,238.0,14,255,0.432434,0.258,True,False,body,140.0,108.0,-10.0,9,1
161,68940,454.0,26,473,0.43018,0.2678,True,False,body,260.0,204.0,-10.0,16,1
162,69343,399.0,21,403,0.42827,0.2579,True,False,body,210.0,199.0,-10.0,11,1
163,69555,201.0,12,212,0.427269,0.2635,True,False,body,120.0,91.0,-10.0,6,1
164,70018,351.0,19,463,0.425091,0.2544,True,False,body,190.0,171.0,-10.0,25,1
165,70377,295.0,15,359,0.423412,0.2457,True,False,body,150.0,155.0,-10.0,11,1
166,70512,135.0,7,135,0.422782,0.2512,True,False,body,70.0,75.0,-10.0,2,1
167,70713,171.0,11,201,0.421847,0.2535,True,False,body,110.0,71.0,-10.0,6,1
168,70840,119.0,7,127,0.421257,0.2359,True,False,body,70.0,59.0,-10.0,4,1
169,71208,333.0,20,368,0.419553,0.2453,True,False,body,200.0,143.0,-10.0,14,1
170,71509,314.0,16,301,0.418165,0.2458,True,False,wall,160.0,164.0,-10.0,21,1
171,71893,342.0,19,384,0.416402,0.2396,True,False,body,190.0,162.0,-10.0,16,1
172,72058,144.0,8,165,0.415648,0.25,True,False,body,80.0,74.0,-10.0,5,1
173,72226,175.0,10,168,0.41488,0.2606,True,False,body,100.0,85.0,-10.0,4,1
174,72488,246.0,13,262,0.413687,0.2457,True,False,body,130.0,126.0,-10.0,9,1
175,72964,420.0,23,476,0.41153,0.2519,True,False,body,230.0,200.0,-10.0,21,1
176,73317,333.0,17,353,0.409938,0.273,True,False,wall,170.0,173.0,-10.0,17,1
177,73600,317.0,19,283,0.408667,0.2647,True,False,body,190.0,137.0,-10.0,14,1
178,74167,525.0,27,567,0.406134,0.2593,True,False,wall,270.0,265.0,-10.0,22,1
179,74398,205.0,11,231,0.405107,0.2558,True,False,wall,110.0,105.0,-10.0,5,1
180,74594,216.0,13,196,0.404238,0.2584,True,False,body,130.0,96.0,-10.0,5,1
181,74920,336.0,19,326,0.402798,0.2684,True,False,body,190.0,156.0,-10.0,8,1
182,75415,437.0,23,495,0.400621,0.257,True,False,body,230.0,217.0,-10.0,17,1
183,76000,581.0,33,585,0.398067,0.2556,True,False,body,330.0,261.0,-10.0,28,1
184,76173,139.0,7,173,0.397315,0.2538,True,False,body,70.0,79.0,-10.0,4,1
185,76454,299.0,17,281,0.396097,0.2492,True,False,body,170.0,139.0,-10.0,10,1
186,76771,305.0,15,317,0.394729,0.2519,True,False,wall,150.0,165.0,-10.0,11,1
187,77030,271.0,15,259,0.393614,0.2657,True,False,wall,150.0,131.0,-10.0,9,1
188,77531,475.0,25,501,0.391469,0.261,True,False,body,250.0,235.0,-10.0,15,1
189,77965,395.0,22,434,0.389622,0.2441,True,False,body,220.0,185.0,-10.0,15,1
190,78246,258.0,14,281,0.388431,0.2732,True,False,wall,140.0,128.0,-10.0,9,1
191,78597,328.0,18,351,0.386949,0.279,True,False,body,180.0,158.0,-10.0,17,1
192,78966,330.0,18,369,0.385399,0.2766,True,False,body,180.0,160.0,-10.0,21,1
193,79187,209.0,9,221,0.384473,0.305,True,False,body,90.0,129.0,-10.0,5,1
194,79686,478.0,24,499,0.382394,0.2847,True,False,body,240.0,248.0,-10.0,13,1
195,80094,339.0,18,408,0.380703,0.2852,True,False,body,180.0,169.0,-10.0,16,1
196,80456,375.0,20,362,0.37921,0.312,True,False,body,200.0,185.0,-10.0,16,1
197,80637,212.0,12,181,0.378466,0.2887,True,False,body,120.0,102.0,-10.0,2,1
198,80937,239.0,12,300,0.377236,0.302,True,False,body,120.0,129.0,-10.0,8,1
199,81239,216.0,13,302,0.376003,0.2889,True,False,body,130.0,96.0,-10.0,20,1
200,81683,407.0,22,444,0.374199,0.2804,True,False,body,220.0,197.0,-10.0,18,1
201,82038,409.0,23,355,0.372763,0.2866,True,False,body,230.0,189.0,-10.0,14,1
202,82130,128.0,9,92,0.372393,0.3139,True,False,body,90.0,48.0,-10.0,1,1
203,82522,325.0,18,392,0.370817,0.3152,True,False,body,180.0,155.0,-10.0,21,1
204,82640,128.0,7,118,0.370344,0.3167,True,False,body,70.0,68.0,-10.0,1,1
205,82790,154.0,9,150,0.369744,0.3217,True,False,body,90.0,74.0,-10.0,3,1
206,82885,108.0,6,95,0.369364,0.2958,True,False,wall,60.0,58.0,-10.0,3,1
207,83193,307.0,14,308,0.368137,0.3031,True,False,body,140.0,177.0,-10.0,12,1
208,83509,302.0,15,316,0.366883,0.2968,True,False,wall,150.0,162.0,-10.0,10,1
209,83669,211.0,12,160,0.36625,0.2821,True,False,body,120.0,101.0,-10.0,1,1
210,83882,236.0,12,213,0.365409,0.2922,True,False,wall,120.0,126.0,-10.0,8,1
211,84155,277.0,17,273,0.364334,0.3098,True,False,body,170.0,117.0,-10.0,15,1
212,84363,291.0,18,208,0.363518,0.2954,True,False,body,180.0,121.0,-10.0,4,1
213,84539,216.0,13,176,0.362829,0.3139,True,False,body,130.0,96.0,-10.0,6,1
214,84772,275.0,15,233,0.361919,0.3004,True,False,body,150.0,135.0,-10.0,3,1
215,85343,623.0,31,571,0.359701,0.2895,True,False,body,310.0,323.0,-10.0,31,1
216,85599,297.0,16,256,0.358712,0.288,True,False,body,160.0,147.0,-10.0,6,1
217,85956,351.0,19,357,0.357337,0.2887,True,False,body,190.0,171.0,-10.0,11,1
218,86239,275.0,15,283,0.356252,0.2818,True,False,body,150.0,135.0,-10.0,19,1
219,86596,401.0,21,357,0.354888,0.2749,True,False,body,210.0,201.0,-10.0,17,1
220,86837,238.0,12,241,0.353971,0.2747,True,False,body,120.0,128.0,-10.0,4,1
221,86974,127.0,7,137,0.353451,0.2775,True,False,body,70.0,67.0,-10.0,4,1
222,87195,261.0,15,221,0.352614,0.2906,True,False,body,150.0,121.0,-10.0,5,1
223,87449,267.0,14,254,0.351654,0.3032,True,False,body,140.0,137.0,-10.0,7,1
224,87934,567.0,31,485,0.349831,0.2851,True,False,body,310.0,267.0,-10.0,27,1
225,88042,142.0,9,108,0.349427,0.2946,True,False,body,90.0,62.0,-10.0,3,1
226,88302,282.0,13,260,0.348455,0.3043,True,False,body,130.0,162.0,-10.0,0,1
227,88864,574.0,29,562,0.346366,0.2936,True,False,wall,290.0,294.0,-10.0,31,1
228,89554,688.0,33,690,0.343821,0.2901,True,False,body,330.0,368.0,-10.0,35,1
229,90370,844.0,45,816,0.340839,0.2807,True,False,body,450.0,404.0,-10.0,40,1
230,90806,538.0,27,436,0.339258,0.2752,True,False,body,270.0,278.0,-10.0,11,1
231,91130,347.0,16,324,0.338089,0.2919,True,False,body,160.0,197.0,-10.0,7,1
232,91794,743.0,36,664,0.335708,0.2963,True,False,body,360.0,393.0,-10.0,24,1
233,91991,191.0,11,197,0.335005,0.2972,True,False,body,110.0,91.0,-10.0,11,1
234,92666,730.0,38,675,0.332611,0.3035,True,False,body,380.0,360.0,-10.0,26,1
235,93158,510.0,25,492,0.330878,0.3085,True,False,body,250.0,270.0,-10.0,27,1
236,93407,255.0,13,249,0.330005,0.3156,True,False,body,130.0,135.0,-10.0,8,1
237,93575,155.0,8,168,0.329418,0.3224,True,False,body,80.0,85.0,-10.0,4,1
238,93905,397.0,22,330,0.328267,0.3116,True,False,wall,220.0,187.0,-10.0,8,1
239,94561,692.0,35,656,0.325995,0.3035,True,False,body,350.0,352.0,-10.0,26,1
240,94862,379.0,21,301,0.324958,0.3019,True,False,body,210.0,179.0,-10.0,9,1
241,95133,348.0,20,271,0.324029,0.3056,True,False,body,200.0,158.0,-10.0,10,1
242,95582,421.0,23,449,0.322495,0.308,True,False,body,230.0,201.0,-10.0,20,1
243,95806,293.0,16,224,0.321733,0.2911,True,False,body,160.0,143.0,-10.0,15,1
244,96306,526.0,27,500,0.32004,0.3147,True,False,body,270.0,266.0,-10.0,22,1
245,96660,381.0,20,354,0.318848,0.3069,True,False,body,200.0,191.0,-10.0,17,1
246,97061,413.0,23,401,0.317503,0.3005,True,False,body,230.0,193.0,-10.0,23,1
247,97372,370.0,24,311,0.316465,0.2964,True,False,body,240.0,140.0,-10.0,17,1
248,97875,566.0,28,503,0.314795,0.2956,True,False,body,280.0,296.0,-10.0,15,1
249,98276,424.0,24,401,0.313471,0.2836,True,False,body,240.0,194.0,-10.0,20,1
250,98395,119.0,7,119,0.31308,0.2743,True,False,body,70.0,59.0,-10.0,4,1
251,99073,736.0,37,678,0.31086,0.2918,True,False,body,370.0,376.0,-10.0,31,1
252,99849,859.0,48,776,0.308341,0.2751,True,False,body,480.0,389.0,-10.0,43,1
253,100707,855.0,44,858,0.305586,0.3065,True,False,body,440.0,425.0,-10.0,42,1
254,101125,500.0,25,418,0.304254,0.3104,True,False,body,250.0,260.0,-10.0,18,1
255,101316,245.0,13,191,0.303647,0.3186,True,False,body,130.0,125.0,-10.0,3,1
256,101610,324.0,17,294,0.302717,0.3176,True,False,body,170.0,164.0,-10.0,13,1
257,102013,407.0,21,403,0.301447,0.3111,True,False,body,210.0,207.0,-10.0,14,1
258,102381,428.0,25,368,0.300293,0.3133,True,False,body,250.0,188.0,-10.0,22,1
259,102784,442.0,24,403,0.299035,0.291,True,False,body,240.0,212.0,-10.0,13,1
260,103328,558.0,29,544,0.297348,0.3129,True,False,body,290.0,278.0,-10.0,22,1
261,103629,379.0,23,301,0.296419,0.3184,True,False,body,230.0,159.0,-10.0,11,1
262,104192,611.0,31,563,0.294691,0.3178,True,False,body,310.0,311.0,-10.0,37,1
263,104664,543.0,28,472,0.293251,0.304,True,False,body,280.0,273.0,-10.0,19,1
264,104925,287.0,17,261,0.292459,0.3123,True,False,wall,170.0,127.0,-10.0,19,1
265,105374,524.0,28,449,0.291102,0.3135,True,False,body,280.0,254.0,-10.0,15,1
266,105545,228.0,12,171,0.290587,0.3081,True,False,wall,120.0,118.0,-10.0,2,1
267,105904,388.0,20,359,0.28951,0.2993,True,False,body,200.0,198.0,-10.0,7,1
268,106197,344.0,18,293,0.288634,0.3123,True,False,body,180.0,174.0,-10.0,7,1
269,106454,329.0,19,257,0.287869,0.2951,True,False,wall,190.0,149.0,-10.0,6,1
270,106977,631.0,35,523,0.286319,0.3191,True,False,body,350.0,291.0,-10.0,9,1
271,107311,439.0,24,334,0.285334,0.3325,True,False,body,240.0,209.0,-10.0,13,1
272,107582,353.0,19,271,0.284539,0.3338,True,False,body,190.0,173.0,-10.0,6,1
273,107928,375.0,20,346,0.283526,0.308,True,False,body,200.0,185.0,-10.0,16,1
274,108083,184.0,10,155,0.283074,0.3214,True,False,body,100.0,94.0,-10.0,7,1
275,108483,449.0,22,400,0.281912,0.3261,True,False,body,220.0,239.0,-10.0,10,1
276,109238,852.0,48,755,0.279733,0.3221,True,False,body,480.0,382.0,-10.0,40,1
277,109546,305.0,16,308,0.278851,0.3394,True,False,body,160.0,155.0,-10.0,16,1
278,109940,432.0,23,394,0.277726,0.3209,True,False,body,230.0,212.0,-10.0,19,1
279,110615,783.0,43,675,0.275813,0.3591,True,False,body,430.0,363.0,-10.0,30,1
280,110824,212.0,12,209,0.275224,0.3491,True,False,body,120.0,102.0,-10.0,8,1
281,111001,280.0,16,177,0.274726,0.3612,True,False,body,160.0,130.0,-10.0,3,1
282,111462,488.0,26,461,0.273435,0.3586,True,False,body,260.0,238.0,-10.0,26,1
283,112287,863.0,47,825,0.271142,0.3459,True,False,body,470.0,403.0,-10.0,31,1
284,112816,574.0,28,529,0.269685,0.3522,True,False,body,280.0,304.0,-10.0,22,1
285,112900,128.0,9,84,0.269454,0.3432,True,False,body,90.0,48.0,-10.0,5,1
286,113186,399.0,22,286,0.268671,0.3558,True,False,body,220.0,189.0,-10.0,8,1
287,113403,277.0,15,217,0.268079,0.3759,True,False,body,150.0,137.0,-10.0,5,1
288,113810,442.0,26,407,0.266972,0.3617,True,False,wall,260.0,192.0,-10.0,27,1
289,114551,810.0,44,741,0.264972,0.3662,True,False,body,440.0,380.0,-10.0,38,1
290,115049,571.0,30,498,0.263638,0.3661,True,False,body,300.0,281.0,-10.0,28,1
291,115275,282.0,15,226,0.263035,0.3772,True,False,body,150.0,142.0,-10.0,12,1
292,115522,270.0,14,247,0.262378,0.3687,True,False,body,140.0,140.0,-10.0,12,1
293,115821,420.0,24,299,0.261586,0.3625,True,False,wall,240.0,190.0,-10.0,7,1
294,116518,751.0,41,697,0.259751,0.3707,True,False,body,410.0,351.0,-10.0,38,1
295,116774,319.0,18,256,0.259081,0.3708,True,False,body,180.0,149.0,-10.0,14,1
296,117071,413.0,23,297,0.258306,0.3753,True,False,body,230.0,193.0,-10.0,7,1
