episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
0,129,-6.0,0,129,0.948775,0.0,True,False,wall,0.0,4.0,-10.0
1,161,-13.0,0,32,0.948472,0.0,True,False,wall,0.0,-3.0,-10.0
2,209,-13.0,0,48,0.948017,0.0,True,False,wall,0.0,-3.0,-10.0
3,240,-10.0,0,31,0.947723,0.0,True,False,wall,0.0,0.0,-10.0
4,278,-15.0,0,38,0.947363,2.2498,True,False,wall,0.0,-5.0,-10.0
5,329,-20.0,0,51,0.94688,3.9231,True,False,wall,0.0,-10.0,-10.0
6,353,-11.0,0,24,0.946652,11.3286,True,False,wall,0.0,-1.0,-10.0
7,398,-18.0,0,45,0.946227,2.1014,True,False,wall,0.0,-8.0,-10.0
8,436,-13.0,0,38,0.945867,1.213,True,False,wall,0.0,-3.0,-10.0
9,598,-6.0,1,162,0.944336,13.3089,True,False,wall,10.0,-6.0,-10.0
10,653,-6.0,0,55,0.943817,24.0897,True,False,wall,0.0,4.0,-10.0
11,671,-17.0,0,18,0.943647,3.5201,True,False,wall,0.0,-7.0,-10.0
12,705,-17.0,0,34,0.943326,1.8282,True,False,wall,0.0,-7.0,-10.0
13,755,-9.0,0,50,0.942855,1.2905,True,False,wall,0.0,1.0,-10.0
14,781,-11.0,0,26,0.942609,3.4273,True,False,wall,0.0,-1.0,-10.0
15,836,-14.0,0,55,0.942091,3.7004,True,False,wall,0.0,-4.0,-10.0
16,883,3.0,1,47,0.941648,2.3996,True,False,wall,10.0,3.0,-10.0
17,907,-21.0,0,24,0.941422,2.5013,True,False,wall,0.0,-11.0,-10.0
18,940,-22.0,0,33,0.941112,2.248,True,False,wall,0.0,-12.0,-10.0
19,981,-10.0,0,41,0.940726,2.4824,True,False,wall,0.0,0.0,-10.0
20,1015,-15.0,0,34,0.940406,3.1139,True,False,wall,0.0,-5.0,-10.0
21,1143,-7.0,0,128,0.939203,2.5079,True,False,wall,0.0,3.0,-10.0
22,1165,-17.0,0,22,0.938997,2.0922,True,False,wall,0.0,-7.0,-10.0
23,1199,-11.0,0,34,0.938678,2.3637,True,False,wall,0.0,-1.0,-10.0
24,1223,8.0,1,24,0.938452,1.6156,True,False,wall,10.0,8.0,-10.0
25,1305,0.0,1,82,0.937683,1.3579,True,False,wall,10.0,0.0,-10.0
26,1348,-12.0,0,43,0.93728,1.1242,True,False,wall,0.0,-2.0,-10.0
27,1410,-9.0,0,62,0.936699,1.1764,True,False,wall,0.0,1.0,-10.0
28,1457,-16.0,0,47,0.936259,1.1266,True,False,wall,0.0,-6.0,-10.0
29,1491,-7.0,0,34,0.935941,0.9207,True,False,wall,0.0,3.0,-10.0
30,1628,-20.0,0,137,0.934659,0.9636,True,False,wall,0.0,-10.0,-10.0
31,1646,-5.0,0,18,0.934491,0.9658,True,False,wall,0.0,5.0,-10.0
32,1668,-15.0,0,22,0.934285,0.7492,True,False,wall,0.0,-5.0,-10.0
33,1688,-17.0,0,20,0.934099,0.978,True,False,wall,0.0,-7.0,-10.0
34,1719,-12.0,0,31,0.933809,0.8454,True,False,wall,0.0,-2.0,-10.0
35,1753,-9.0,0,34,0.933492,0.7805,True,False,wall,0.0,1.0,-10.0
36,1776,-14.0,0,23,0.933277,0.8957,True,False,wall,0.0,-4.0,-10.0
37,1791,-9.0,1,15,0.933137,0.7747,True,False,wall,10.0,-9.0,-10.0
38,1824,-16.0,0,33,0.932829,0.8328,True,False,wall,0.0,-6.0,-10.0
39,1841,-12.0,0,17,0.932671,0.9056,True,False,wall,0.0,-2.0,-10.0
40,1871,6.0,1,30,0.932391,0.9418,True,False,wall,10.0,6.0,-10.0
41,1896,-20.0,0,25,0.932158,0.9555,True,False,wall,0.0,-10.0,-10.0
42,1946,6.0,1,50,0.931692,0.7911,True,False,wall,10.0,6.0,-10.0
43,1998,-5.0,0,52,0.931207,1.0018,True,False,wall,0.0,5.0,-10.0
44,2022,-23.0,0,24,0.930984,1.0638,True,False,wall,0.0,-13.0,-10.0
