episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
0,31,-8.0,0,31,0.949706,0.0,True,False,wall,0.0,2.0,-10.0
1,150,26.0,2,119,0.948576,0.0,True,False,wall,20.0,16.0,-10.0
2,194,-15.0,0,44,0.948159,0.0,True,False,wall,0.0,-5.0,-10.0
3,220,-17.0,0,26,0.947912,0.0,True,False,wall,0.0,-7.0,-10.0
4,323,1.0,1,103,0.946936,2.7539,True,False,wall,10.0,1.0,-10.0
5,345,-19.0,0,22,0.946728,2.3228,True,False,wall,0.0,-9.0,-10.0
6,394,-16.0,0,49,0.946264,3.0323,True,False,wall,0.0,-6.0,-10.0
7,419,-6.0,0,25,0.946028,4.431,True,False,wall,0.0,4.0,-10.0
8,449,-23.0,0,30,0.945744,2.9904,True,False,wall,0.0,-13.0,-10.0
9,499,-17.0,0,50,0.945271,4.9074,True,False,wall,0.0,-7.0,-10.0
10,577,-17.0,0,78,0.944534,4.1076,True,False,wall,0.0,-7.0,-10.0
11,690,-2.0,0,113,0.943468,2.9007,True,False,wall,0.0,8.0,-10.0
12,768,-19.0,0,78,0.942732,20.7482,True,False,wall,0.0,-9.0,-10.0
13,833,-16.0,0,65,0.942119,120.4243,True,False,wall,0.0,-6.0,-10.0
14,863,-13.0,0,30,0.941837,107.1303,True,False,wall,0.0,-3.0,-10.0
15,914,-16.0,0,51,0.941357,33.7233,True,False,wall,0.0,-6.0,-10.0
16,945,-20.0,0,31,0.941065,30.0265,True,False,wall,0.0,-10.0,-10.0
17,987,-23.0,0,42,0.94067,17.443,True,False,wall,0.0,-13.0,-10.0
18,1084,5.0,1,97,0.939758,46.7538,True,False,wall,10.0,5.0,-10.0
19,1143,-16.0,0,59,0.939203,41.6955,True,False,wall,0.0,-6.0,-10.0
20,1165,-17.0,0,22,0.938997,8.5418,True,False,wall,0.0,-7.0,-10.0
21,1244,-24.0,0,79,0.938255,5.1252,True,False,wall,0.0,-14.0,-10.0
22,1273,-4.0,0,29,0.937983,3.4484,True,False,wall,0.0,6.0,-10.0
23,1338,-16.0,0,65,0.937374,3.2749,True,False,wall,0.0,-6.0,-10.0
24,1352,-17.0,0,14,0.937242,4.3727,True,False,wall,0.0,-7.0,-10.0
25,1407,-12.0,0,55,0.936727,3.1805,True,False,wall,0.0,-2.0,-10.0
26,1457,-19.0,0,50,0.936259,2.4367,True,False,wall,0.0,-9.0,-10.0
