episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
70,3289,9.0,1,71,0.919263,5.8075,True,False,wall,10.0,9.0,-10.0
71,3312,-20.0,0,23,0.919051,6.0649,True,False,wall,0.0,-10.0,-10.0
72,3366,-21.0,0,54,0.918555,5.5994,True,False,wall,0.0,-11.0,-10.0
73,3414,-19.0,0,48,0.918114,5.3695,True,False,wall,0.0,-9.0,-10.0
74,3466,-17.0,0,52,0.917637,5.3534,True,False,wall,0.0,-7.0,-10.0
75,3516,-13.0,0,50,0.917178,5.2364,True,False,wall,0.0,-3.0,-10.0
76,3564,-2.0,1,48,0.916738,5.782,True,False,wall,10.0,-2.0,-10.0
77,3595,-24.0,0,31,0.916454,4.8844,True,False,wall,0.0,-14.0,-10.0
78,3652,-11.0,1,57,0.915932,5.9754,True,False,wall,10.0,-11.0,-10.0
79,3673,-14.0,0,21,0.91574,5.7942,True,False,wall,0.0,-4.0,-10.0
80,3692,-4.0,0,19,0.915566,6.0074,True,False,wall,0.0,6.0,-10.0
81,3733,-3.0,1,41,0.91519,5.1172,True,False,wall,10.0,-3.0,-10.0
82,3784,-6.0,0,51,0.914724,4.8784,True,False,wall,0.0,4.0,-10.0
83,3804,2.0,1,20,0.914541,5.1756,True,False,wall,10.0,2.0,-10.0
84,3847,7.0,1,43,0.914148,5.0721,True,False,wall,10.0,7.0,-10.0
85,3942,26.0,2,95,0.91328,5.3436,True,False,wall,20.0,16.0,-10.0
86,3975,-9.0,1,33,0.912978,5.8687,True,False,wall,10.0,-9.0,-10.0
87,4087,-9.0,0,112,0.911956,5.4651,True,False,wall,0.0,1.0,-10.0
88,4108,7.0,1,21,0.911765,5.2485,True,False,wall,10.0,7.0,-10.0
89,4153,1.0,1,45,0.911355,4.9441,True,False,wall,10.0,1.0,-10.0
90,4204,5.0,1,51,0.91089,5.1045,True,False,wall,10.0,5.0,-10.0
91,4243,-20.0,0,39,0.910535,4.7305,True,False,wall,0.0,-10.0,-10.0
92,4265,-13.0,0,22,0.910334,5.408,True,False,wall,0.0,-3.0,-10.0
93,4442,-18.0,0,177,0.908725,4.1817,True,False,wall,0.0,-8.0,-10.0
94,4482,-9.0,0,40,0.908361,4.3773,True,False,wall,0.0,1.0,-10.0
95,4512,-17.0,0,30,0.908089,4.2458,True,False,wall,0.0,-7.0,-10.0
96,4543,-16.0,0,31,0.907807,3.5729,True,False,wall,0.0,-6.0,-10.0
97,4605,-11.0,0,62,0.907245,3.6461,True,False,wall,0.0,-1.0,-10.0
98,4624,-16.0,0,19,0.907072,3.8957,True,False,wall,0.0,-6.0,-10.0
99,4646,-19.0,0,22,0.906873,3.9544,True,False,wall,0.0,-9.0,-10.0
100,4697,11.0,1,51,0.90641,3.3007,True,False,wall,10.0,11.0,-10.0
101,4726,-14.0,0,29,0.906147,3.5676,True,False,wall,0.0,-4.0,-10.0
102,4767,-4.0,0,41,0.905776,3.3933,True,False,wall,0.0,6.0,-10.0
103,4785,-17.0,0,18,0.905613,3.5713,True,False,wall,0.0,-7.0,-10.0
104,4879,-17.0,0,94,0.904762,3.097,True,False,wall,0.0,-7.0,-10.0
105,4974,-20.0,0,95,0.903903,3.0795,True,False,wall,0.0,-10.0,-10.0
106,5028,-11.0,0,54,0.903415,3.2446,True,False,wall,0.0,-1.0,-10.0
107,5084,12.0,1,56,0.902909,3.3961,True,False,wall,10.0,12.0,-10.0
108,5099,-16.0,0,15,0.902774,3.4422,True,False,wall,0.0,-6.0,-10.0
109,5127,-13.0,0,28,0.902521,3.8306,True,False,wall,0.0,-3.0,-10.0
110,5196,10.0,2,69,0.901898,3.756,True,False,wall,20.0,0.0,-10.0
111,5266,-17.0,0,70,0.901267,4.302,True,False,wall,0.0,-7.0,-10.0
112,5283,-8.0,0,17,0.901114,3.1101,True,False,wall,0.0,2.0,-10.0
113,5388,-1.0,1,105,0.900169,3.4349,True,False,wall,10.0,-1.0,-10.0
114,5446,1.0,0,58,0.899647,3.495,True,False,wall,0.0,11.0,-10.0
115,5494,-21.0,0,48,0.899215,3.0023,True,False,wall,0.0,-11.0,-10.0
116,5516,-3.0,0,22,0.899017,3.1496,True,False,wall,0.0,7.0,-10.0
117,5536,-9.0,0,20,0.898837,3.1425,True,False,wall,0.0,1.0,-10.0
118,5575,-10.0,0,39,0.898487,3.4316,True,False,wall,0.0,0.0,-10.0
119,5601,2.0,1,26,0.898253,3.0031,True,False,wall,10.0,2.0,-10.0
120,5815,36.0,3,214,0.896333,2.9136,True,False,wall,30.0,16.0,-10.0
121,5833,-19.0,0,18,0.896172,2.712,True,False,wall,0.0,-9.0,-10.0
122,5876,-10.0,0,43,0.895786,2.1582,True,False,wall,0.0,0.0,-10.0
123,5905,-18.0,0,29,0.895527,2.4001,True,False,wall,0.0,-8.0,-10.0
124,5931,-17.0,0,26,0.895294,2.3956,True,False,wall,0.0,-7.0,-10.0
125,5945,-7.0,0,14,0.895169,2.2862,True,False,wall,0.0,3.0,-10.0
126,5988,-24.0,0,43,0.894784,2.4189,True,False,wall,0.0,-14.0,-10.0
127,6035,7.0,1,47,0.894363,2.5891,True,False,wall,10.0,7.0,-10.0
128,6071,-11.0,0,36,0.894041,2.6991,True,False,wall,0.0,-1.0,-10.0
129,6148,-18.0,0,77,0.893353,2.5738,True,False,wall,0.0,-8.0,-10.0
130,6172,-8.0,1,24,0.893139,2.9156,True,False,wall,10.0,-8.0,-10.0
131,6211,7.0,1,39,0.892791,2.8567,True,False,wall,10.0,7.0,-10.0
132,6233,-11.0,0,22,0.892594,3.2806,True,False,wall,0.0,-1.0,-10.0
133,6246,-12.0,0,13,0.892478,2.3958,True,False,wall,0.0,-2.0,-10.0
134,6279,5.0,1,33,0.892184,2.7059,True,False,wall,10.0,5.0,-10.0
135,6354,1.0,1,75,0.891515,2.4415,True,False,wall,10.0,1.0,-10.0
136,6380,-1.0,0,26,0.891283,2.7641,True,False,wall,0.0,9.0,-10.0
137,6397,-4.0,0,17,0.891131,2.2951,True,False,wall,0.0,6.0,-10.0
138,6436,-20.0,0,39,0.890784,2.4862,True,False,wall,0.0,-10.0,-10.0
139,6524,-6.0,1,88,0.89,2.3892,True,False,wall,10.0,-6.0,-10.0
140,6581,-6.0,0,57,0.889493,2.4065,True,False,wall,0.0,4.0,-10.0
141,6722,-10.0,0,141,0.88824,2.1505,True,False,wall,0.0,0.0,-10.0
142,6798,0.0,1,76,0.887565,2.1982,True,False,wall,10.0,0.0,-10.0
143,6824,-3.0,0,26,0.887334,2.0657,True,False,wall,0.0,7.0,-10.0
144,6871,-12.0,0,47,0.886918,2.3229,True,False,wall,0.0,-2.0,-10.0
145,6941,0.0,1,70,0.886297,2.0494,True,False,wall,10.0,0.0,-10.0
146,6961,-1.0,0,20,0.88612,1.8842,True,False,wall,0.0,9.0,-10.0
147,6978,-6.0,0,17,0.885969,2.4788,True,False,wall,0.0,4.0,-10.0
148,7002,-7.0,0,24,0.885756,1.9383,True,False,wall,0.0,3.0,-10.0
149,7038,-17.0,0,36,0.885438,2.0332,True,False,wall,0.0,-7.0,-10.0
150,7068,1.0,0,30,0.885172,2.4401,True,False,wall,0.0,11.0,-10.0
151,7097,-4.0,0,29,0.884915,2.4708,True,False,wall,0.0,6.0,-10.0
152,7120,-10.0,0,23,0.884712,2.1692,True,False,wall,0.0,0.0,-10.0
153,7140,-15.0,0,20,0.884535,2.8145,True,False,wall,0.0,-5.0,-10.0
154,7184,-10.0,1,44,0.884146,2.3003,True,False,wall,10.0,-10.0,-10.0
155,7348,-23.0,0,164,0.882697,2.2024,True,False,wall,0.0,-13.0,-10.0
156,7431,-18.0,0,83,0.881965,2.3042,True,False,wall,0.0,-8.0,-10.0
157,7462,-18.0,0,31,0.881691,2.4163,True,False,wall,0.0,-8.0,-10.0
158,7473,-14.0,0,11,0.881594,2.3802,True,False,wall,0.0,-4.0,-10.0
