episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum,planner_intervention_count,all_actions_unsafe_count,beam_search_runs,beam_vetoes,beam_all_forced_death
23,17996,204.0,11,288,0.543996,0.1932,True,False,body,110.0,104.0,-10.0,8,1,8,0,0
24,18282,196.0,11,286,0.539309,0.1858,True,False,body,110.0,96.0,-10.0,13,1,5,0,0
25,18551,182.0,10,269,0.534941,0.1713,True,False,body,100.0,92.0,-10.0,14,1,7,0,0
26,18850,209.0,11,299,0.530132,0.1798,True,False,body,110.0,109.0,-10.0,14,1,15,0,0
27,19295,312.0,18,445,0.523063,0.1749,True,False,wall,180.0,142.0,-10.0,41,1,33,0,2
28,19604,203.0,11,309,0.518215,0.1747,True,False,body,110.0,103.0,-10.0,15,1,13,0,1
29,19815,169.0,9,211,0.514934,0.1554,True,False,body,90.0,89.0,-10.0,5,1,7,0,0
30,20115,277.0,16,300,0.510308,0.209,True,False,body,160.0,127.0,-10.0,17,1,20,1,1
31,20431,235.0,12,316,0.505484,0.2061,True,False,body,120.0,125.0,-10.0,17,1,17,0,0
32,20965,394.0,21,534,0.497448,0.1861,True,False,body,210.0,194.0,-10.0,42,1,33,0,1
33,21164,136.0,8,199,0.49449,0.2608,True,False,body,80.0,66.0,-10.0,12,1,9,0,2
34,21499,279.0,15,335,0.489554,0.2095,True,False,body,150.0,139.0,-10.0,29,1,22,0,2
35,22002,394.0,22,503,0.482246,0.1882,True,False,body,220.0,184.0,-10.0,50,1,36,0,0
36,22322,283.0,16,320,0.47766,0.2216,True,False,body,160.0,133.0,-10.0,23,1,16,0,0
37,22570,185.0,10,248,0.474139,0.1857,True,False,body,100.0,95.0,-10.0,16,1,10,0,0
38,23302,610.0,31,732,0.463915,0.2035,True,False,body,310.0,310.0,-10.0,61,1,50,1,3
39,23489,208.0,10,187,0.461343,0.19,True,False,body,100.0,118.0,-10.0,5,1,2,0,0
40,23762,249.0,15,273,0.457617,0.1953,True,False,body,150.0,109.0,-10.0,9,1,11,0,0
41,24131,190.0,10,369,0.452634,0.2146,True,False,body,100.0,100.0,-10.0,37,1,25,0,1
42,24455,224.0,11,324,0.448309,0.2107,True,False,wall,110.0,124.0,-10.0,17,1,15,0,1
43,24632,202.0,12,177,0.445966,0.1966,True,False,body,120.0,92.0,-10.0,7,1,6,0,0
44,25265,623.0,33,633,0.437699,0.2246,True,False,body,330.0,303.0,-10.0,32,1,33,0,0
45,25355,100.0,5,90,0.436537,0.228,True,False,body,50.0,60.0,-10.0,1,1,3,0,0
46,25588,221.0,13,233,0.433547,0.2283,True,False,body,130.0,101.0,-10.0,9,1,12,0,1
47,25774,156.0,9,186,0.431176,0.2227,True,False,body,90.0,76.0,-10.0,8,1,7,0,0
48,26208,418.0,23,434,0.425701,0.2525,True,False,body,230.0,198.0,-10.0,34,1,28,0,0
49,26569,301.0,13,361,0.421208,0.2342,True,False,body,130.0,181.0,-10.0,27,1,26,2,2
50,26863,254.0,13,294,0.417588,0.2314,True,False,body,130.0,134.0,-10.0,12,1,15,1,1
51,27202,332.0,18,339,0.413457,0.2633,True,False,body,180.0,162.0,-10.0,10,1,9,0,1
52,27499,275.0,15,297,0.409877,0.2544,True,False,wall,150.0,135.0,-10.0,17,1,13,0,0
53,27796,273.0,15,297,0.406331,0.242,True,False,body,150.0,133.0,-10.0,17,1,18,0,2
54,28218,422.0,21,422,0.401354,0.2646,True,False,body,210.0,222.0,-10.0,18,1,21,0,1
55,28377,190.0,10,159,0.399497,0.2454,True,False,body,100.0,100.0,-10.0,0,1,4,0,3
56,28590,185.0,11,213,0.397024,0.2462,True,False,body,110.0,85.0,-10.0,10,1,8,0,0
57,28874,270.0,15,284,0.393755,0.2368,True,False,body,150.0,130.0,-10.0,16,1,16,0,1
58,29382,391.0,20,508,0.387983,0.2493,True,False,body,200.0,201.0,-10.0,35,1,37,0,1
59,29953,518.0,26,571,0.381611,0.2396,True,False,body,260.0,268.0,-10.0,32,1,28,2,1
60,30440,564.0,32,487,0.376271,0.2693,True,False,wall,320.0,254.0,-10.0,35,1,40,0,8
61,31294,728.0,37,854,0.367114,0.2637,True,False,body,370.0,368.0,-10.0,70,1,83,3,1
62,31759,421.0,21,465,0.362237,0.2622,True,False,body,210.0,221.0,-10.0,22,1,20,0,0
63,31931,207.0,12,172,0.360452,0.2526,True,False,body,120.0,97.0,-10.0,8,1,7,0,0
64,32506,641.0,33,575,0.354558,0.2867,True,False,body,330.0,321.0,-10.0,33,1,31,0,1
65,32773,286.0,16,267,0.351859,0.2641,True,False,body,160.0,136.0,-10.0,12,1,20,0,1
66,32917,164.0,9,144,0.350414,0.2609,True,False,body,90.0,84.0,-10.0,2,1,3,1,1
67,33201,297.0,16,284,0.347583,0.2811,True,False,body,160.0,147.0,-10.0,8,1,8,0,1
68,33694,527.0,29,493,0.342733,0.2784,True,False,body,290.0,247.0,-10.0,20,1,32,1,2
69,33956,295.0,16,262,0.340188,0.2637,True,False,body,160.0,145.0,-10.0,7,1,8,0,1
70,34729,693.0,35,773,0.332806,0.2819,True,False,body,350.0,353.0,-10.0,48,1,65,5,15
71,34904,180.0,12,175,0.331161,0.2555,True,False,body,120.0,70.0,-10.0,11,1,12,0,1
72,35210,305.0,16,306,0.328308,0.2919,True,False,body,160.0,155.0,-10.0,18,1,13,0,2
73,35880,702.0,35,670,0.322161,0.2698,True,False,body,350.0,362.0,-10.0,47,1,43,0,6
74,36214,392.0,23,334,0.319148,0.2925,True,False,wall,230.0,172.0,-10.0,21,1,24,2,1
75,36525,354.0,20,311,0.316372,0.2591,True,False,body,200.0,164.0,-10.0,12,1,14,0,3
76,36756,347.0,21,231,0.314329,0.2514,True,False,body,210.0,147.0,-10.0,6,1,7,0,2
77,36883,182.0,10,127,0.313212,0.2454,True,False,wall,100.0,92.0,-10.0,0,1,2,0,1
78,37456,527.0,29,573,0.308233,0.2755,True,False,body,290.0,247.0,-10.0,41,1,44,1,7
79,37876,418.0,23,420,0.304643,0.2675,True,False,body,230.0,198.0,-10.0,32,1,22,0,1
80,38571,647.0,33,695,0.298811,0.2707,True,False,body,330.0,327.0,-10.0,40,1,57,1,1
81,39128,649.0,35,557,0.294234,0.258,True,False,body,350.0,309.0,-10.0,29,1,34,0,1
82,39741,655.0,33,613,0.289294,0.2758,True,False,body,330.0,335.0,-10.0,24,1,41,0,1
83,39975,272.0,13,234,0.287435,0.2664,True,False,body,130.0,152.0,-10.0,8,1,5,0,0
84,40289,450.0,27,314,0.284963,0.3273,True,False,body,270.0,190.0,-10.0,16,1,15,0,1
85,40492,205.0,11,203,0.283378,0.2899,True,False,body,110.0,105.0,-10.0,8,1,9,0,0
86,40800,402.0,23,308,0.280995,0.3026,True,False,body,230.0,182.0,-10.0,14,1,14,0,4
87,41180,436.0,23,380,0.278087,0.3044,True,False,body,230.0,216.0,-10.0,12,1,20,0,4
88,41837,654.0,34,657,0.273146,0.3032,True,False,body,340.0,324.0,-10.0,40,1,51,1,2
89,42383,634.0,35,546,0.269122,0.3114,True,False,body,350.0,294.0,-10.0,38,1,70,1,7
90,42783,485.0,26,400,0.26622,0.2937,True,False,body,260.0,235.0,-10.0,10,1,18,0,1
91,42979,273.0,14,196,0.264812,0.2956,True,False,body,140.0,143.0,-10.0,4,1,6,0,1
92,43260,333.0,17,281,0.262809,0.3124,True,False,body,170.0,173.0,-10.0,4,1,10,0,6
93,43657,510.0,26,397,0.260011,0.2993,True,False,body,260.0,260.0,-10.0,8,1,27,3,1
94,43984,361.0,19,327,0.257735,0.2915,True,False,body,190.0,181.0,-10.0,15,1,14,0,1
95,44123,187.0,11,139,0.256774,0.3417,True,False,body,110.0,87.0,-10.0,7,1,9,0,0
96,44346,277.0,15,223,0.255243,0.3352,True,False,body,150.0,137.0,-10.0,4,1,7,0,3
97,44586,316.0,17,240,0.253608,0.3379,True,False,body,170.0,156.0,-10.0,11,1,13,0,2
98,44912,409.0,22,326,0.251407,0.3152,True,False,body,220.0,199.0,-10.0,13,1,22,0,3
99,45159,324.0,18,247,0.249756,0.3504,True,False,body,180.0,154.0,-10.0,17,1,11,0,2
100,45598,507.0,27,439,0.246854,0.3375,True,False,body,270.0,247.0,-10.0,16,1,28,1,2
101,46192,713.0,36,594,0.242994,0.3304,True,False,body,360.0,363.0,-10.0,24,1,43,0,1
102,46490,401.0,22,298,0.241087,0.3106,True,False,body,220.0,191.0,-10.0,7,1,9,0,2
103,46731,356.0,18,241,0.239558,0.2989,True,False,body,180.0,186.0,-10.0,5,1,7,0,1
104,47283,613.0,30,552,0.236102,0.302,True,False,body,300.0,323.0,-10.0,19,1,23,1,0
105,47857,707.0,36,574,0.232575,0.3002,True,False,body,360.0,357.0,-10.0,19,1,36,0,2
106,48394,609.0,33,537,0.229336,0.2947,True,False,wall,330.0,289.0,-10.0,30,1,51,1,2
107,48884,610.0,31,490,0.226431,0.2861,True,False,body,310.0,310.0,-10.0,28,1,47,1,6
108,49070,241.0,14,186,0.22534,0.3172,True,False,body,140.0,111.0,-10.0,13,1,12,0,1
109,49302,314.0,19,232,0.223989,0.3288,True,False,body,190.0,134.0,-10.0,16,1,14,0,4
110,49690,526.0,27,388,0.221754,0.3072,True,False,body,270.0,266.0,-10.0,16,1,25,0,1
111,50119,517.0,29,429,0.219315,0.327,True,False,body,290.0,237.0,-10.0,20,1,29,2,3
112,50507,521.0,28,388,0.217139,0.3324,True,False,body,280.0,251.0,-10.0,13,1,24,0,3
113,51017,671.0,36,510,0.214322,0.33,True,False,body,360.0,321.0,-10.0,26,1,42,0,2
114,51424,493.0,27,407,0.212108,0.3945,True,False,body,270.0,233.0,-10.0,15,1,27,1,3
115,51715,410.0,24,291,0.210543,0.3866,True,False,body,240.0,180.0,-10.0,8,1,16,2,1
116,52030,404.0,22,315,0.208866,0.3788,True,False,body,220.0,194.0,-10.0,9,1,17,0,1
117,52399,488.0,28,369,0.206924,0.341,True,False,body,280.0,218.0,-10.0,18,1,27,1,1
118,52809,476.0,25,410,0.204794,0.3285,True,False,body,250.0,236.0,-10.0,20,1,25,1,1
119,53354,735.0,39,545,0.202007,0.3451,True,False,body,390.0,355.0,-10.0,44,1,62,2,3
120,53735,519.0,29,381,0.200089,0.3387,True,False,body,290.0,239.0,-10.0,13,1,21,0,1
121,53951,258.0,13,216,0.199012,0.3271,True,False,body,130.0,138.0,-10.0,10,1,12,0,1
122,54339,550.0,31,388,0.197097,0.3387,True,False,wall,310.0,250.0,-10.0,14,1,20,0,1
123,54580,347.0,19,241,0.19592,0.3208,True,False,body,190.0,167.0,-10.0,6,1,8,0,2
124,54812,281.0,14,232,0.194796,0.321,True,False,body,140.0,151.0,-10.0,13,1,16,0,1
125,55340,585.0,34,528,0.19227,0.3326,True,False,body,340.0,255.0,-10.0,35,1,62,1,2
126,55452,154.0,9,112,0.19174,0.3408,True,False,body,90.0,74.0,-10.0,0,1,2,0,1
127,55872,538.0,27,420,0.18977,0.3392,True,False,body,270.0,278.0,-10.0,20,1,34,1,3
128,56330,567.0,30,458,0.187652,0.3867,True,False,body,300.0,277.0,-10.0,21,1,36,0,5
129,56993,811.0,41,663,0.184643,0.3964,True,False,body,410.0,411.0,-10.0,24,1,31,0,4
130,57225,312.0,17,232,0.183606,0.3662,True,False,body,170.0,152.0,-10.0,11,1,10,0,2
131,57589,519.0,28,364,0.181995,0.3633,True,False,body,280.0,249.0,-10.0,18,1,30,0,1
132,57685,157.0,10,96,0.181573,0.3537,True,False,body,100.0,67.0,-10.0,1,1,2,0,1
133,58273,704.0,37,588,0.179019,0.3482,True,False,body,370.0,344.0,-10.0,31,1,59,1,1
134,58562,356.0,22,289,0.177782,0.3367,True,False,wall,220.0,146.0,-10.0,19,1,40,1,1
135,59229,869.0,43,667,0.174973,0.3416,True,False,body,430.0,449.0,-10.0,25,1,48,1,1
136,59443,305.0,16,214,0.174084,0.3484,True,False,body,160.0,155.0,-10.0,6,1,7,0,2
137,60459,1186.0,65,1016,0.169952,0.3563,True,False,wall,650.0,546.0,-10.0,54,1,167,8,2
138,60542,117.0,7,83,0.169621,0.3823,True,False,body,70.0,57.0,-10.0,3,1,4,0,2
139,60986,617.0,30,444,0.167864,0.3584,True,False,body,300.0,327.0,-10.0,12,1,23,0,1
140,61700,893.0,44,714,0.165092,0.3693,True,False,body,440.0,463.0,-10.0,26,1,51,2,9
141,61924,320.0,17,224,0.164235,0.3676,True,False,body,170.0,160.0,-10.0,2,1,6,0,0
142,62496,740.0,39,572,0.162078,0.3814,True,False,body,390.0,360.0,-10.0,21,1,33,1,2
143,62762,307.0,16,266,0.161089,0.3763,True,False,body,160.0,157.0,-10.0,18,1,29,2,0
144,63006,351.0,20,244,0.160189,0.3777,True,False,body,200.0,161.0,-10.0,10,1,14,1,2
145,63618,793.0,40,612,0.157964,0.3588,True,False,body,400.0,403.0,-10.0,27,1,37,1,5
146,64262,809.0,42,644,0.155671,0.357,True,False,body,420.0,399.0,-10.0,38,1,66,2,6
147,65220,1137.0,62,958,0.15235,0.3711,True,False,body,620.0,527.0,-10.0,63,1,186,4,9
148,65616,515.0,28,396,0.151007,0.4036,True,False,body,280.0,245.0,-10.0,22,1,55,1,1
149,66826,1129.0,56,1210,0.147015,0.4041,True,False,body,560.0,579.0,-10.0,126,1,253,10,21
150,67012,287.0,16,186,0.146415,0.406,True,False,body,160.0,137.0,-10.0,9,1,15,0,2
151,67589,774.0,42,577,0.144578,0.4072,True,False,wall,420.0,364.0,-10.0,33,1,56,5,4
152,68026,559.0,29,437,0.143211,0.3952,True,False,body,290.0,279.0,-10.0,14,1,27,0,8
153,68689,817.0,43,663,0.141173,0.4379,True,False,body,430.0,397.0,-10.0,57,1,123,0,1
154,69498,1004.0,56,809,0.138747,0.4112,True,False,body,560.0,454.0,-10.0,63,1,157,4,11
155,70146,865.0,44,648,0.136851,0.4064,True,False,body,440.0,435.0,-10.0,38,1,58,1,1
156,70592,623.0,32,446,0.135569,0.3995,True,False,body,320.0,313.0,-10.0,27,1,37,0,1
157,71013,566.0,30,421,0.134377,0.3817,True,False,body,300.0,276.0,-10.0,23,1,31,0,1
158,71246,343.0,19,233,0.133724,0.3924,True,False,body,190.0,163.0,-10.0,14,1,21,0,2
159,71587,415.0,21,341,0.132778,0.3983,True,False,body,210.0,215.0,-10.0,19,1,29,0,2
160,72476,895.0,49,889,0.130361,0.4012,True,False,body,490.0,415.0,-10.0,83,1,162,5,5
161,73523,1200.0,62,1047,0.127605,0.399,True,False,wall,620.0,590.0,-10.0,83,1,150,4,1
162,74441,1143.0,58,918,0.125266,0.4147,True,False,body,580.0,573.0,-10.0,83,1,210,4,2
163,74676,365.0,19,235,0.124679,0.4211,True,False,body,190.0,185.0,-10.0,5,1,8,0,1
164,74919,347.0,19,243,0.124076,0.4156,True,False,body,190.0,167.0,-10.0,12,1,15,0,4
165,75510,781.0,41,591,0.122631,0.4613,True,False,body,410.0,381.0,-10.0,24,1,37,2,1
166,75980,705.0,38,470,0.121502,0.4527,True,False,body,380.0,335.0,-10.0,14,1,34,2,2
167,76572,767.0,44,592,0.120105,0.4374,True,False,body,440.0,337.0,-10.0,52,1,85,4,7
168,77167,813.0,43,595,0.118728,0.4488,True,False,wall,430.0,393.0,-10.0,42,1,71,5,1
169,77478,509.0,27,311,0.11802,0.4641,True,False,body,270.0,249.0,-10.0,3,1,4,0,1
170,77653,272.0,16,175,0.117624,0.457,True,False,body,160.0,122.0,-10.0,2,1,11,0,4
171,78150,718.0,38,497,0.116513,0.4557,True,False,body,380.0,348.0,-10.0,37,1,85,0,3
172,78659,626.0,34,509,0.115394,0.467,True,False,body,340.0,296.0,-10.0,26,1,55,3,0
173,79246,825.0,43,587,0.114127,0.4514,True,False,body,430.0,405.0,-10.0,25,1,62,3,2
174,79549,454.0,24,303,0.113482,0.4509,True,False,body,240.0,224.0,-10.0,14,1,14,0,1
175,80336,974.0,52,787,0.111839,0.4459,True,False,wall,520.0,464.0,-10.0,51,1,99,2,10
176,80981,752.0,38,645,0.110523,0.4469,True,False,wall,380.0,382.0,-10.0,53,1,69,3,7
177,81606,909.0,49,625,0.109275,0.4897,True,False,body,490.0,429.0,-10.0,28,1,79,0,14
178,82098,685.0,36,492,0.108311,0.4726,True,False,body,360.0,335.0,-10.0,26,1,51,2,5
179,82817,1045.0,57,719,0.10693,0.4547,True,False,wall,570.0,485.0,-10.0,38,1,99,3,2
180,83658,1105.0,57,841,0.105357,0.4479,True,False,body,570.0,545.0,-10.0,64,1,101,2,3
181,84487,1069.0,55,829,0.103848,0.4364,True,False,wall,550.0,529.0,-10.0,50,1,112,3,18
182,84639,202.0,11,152,0.103576,0.4332,True,False,body,110.0,102.0,-10.0,5,1,10,0,2
183,84897,429.0,24,258,0.103117,0.4431,True,False,body,240.0,199.0,-10.0,5,1,13,0,3
184,85682,895.0,47,785,0.101745,0.4511,True,False,body,470.0,435.0,-10.0,52,1,110,3,4
185,87146,1527.0,76,1464,0.09928,0.4803,True,False,body,760.0,777.0,-10.0,103,1,358,12,12
186,87630,602.0,33,484,0.098492,0.5012,True,False,body,330.0,282.0,-10.0,32,1,70,1,2
187,88189,802.0,42,559,0.097597,0.4873,True,False,body,420.0,392.0,-10.0,29,1,45,3,4
188,88501,506.0,27,312,0.097104,0.4797,True,False,body,270.0,246.0,-10.0,24,1,30,0,1
189,88960,662.0,36,459,0.096389,0.4749,True,False,body,360.0,312.0,-10.0,29,1,38,0,1
190,89627,910.0,50,667,0.095369,0.4883,True,False,body,500.0,420.0,-10.0,58,1,89,0,3
191,90376,1033.0,57,749,0.09425,0.5015,True,False,body,570.0,473.0,-10.0,48,1,118,1,3
192,91231,1011.0,53,855,0.093007,0.5074,True,False,body,530.0,491.0,-10.0,70,1,159,5,15
193,92040,1012.0,52,809,0.091863,0.5097,True,False,body,520.0,502.0,-10.0,61,1,123,2,1
194,92115,124.0,8,75,0.091758,0.5405,True,False,body,80.0,54.0,-10.0,1,1,2,0,1
195,92822,916.0,50,707,0.090786,0.5012,True,False,wall,500.0,426.0,-10.0,67,1,167,3,11
196,93396,782.0,35,574,0.090013,0.5076,True,False,body,350.0,442.0,-10.0,16,1,31,2,2
197,94572,1193.0,60,1176,0.088474,0.5037,True,False,body,600.0,603.0,-10.0,88,1,264,6,0
198,95734,1375.0,70,1162,0.087013,0.514,True,False,body,700.0,685.0,-10.0,88,1,325,9,5
199,95881,249.0,15,147,0.086832,0.5086,True,False,wall,150.0,109.0,-10.0,7,1,7,0,0
200,96778,1138.0,60,897,0.085747,0.5059,True,False,body,600.0,548.0,-10.0,52,1,98,3,6
201,97994,1385.0,76,1216,0.084327,0.5344,True,False,body,760.0,635.0,-10.0,89,1,250,9,4
202,98607,835.0,41,613,0.083633,0.5368,True,False,body,410.0,435.0,-10.0,38,1,65,0,1
203,99412,984.0,50,805,0.082742,0.527,True,False,body,500.0,494.0,-10.0,64,1,154,1,17
204,100000,889.0,47,588,0.082107,0.5276,False,False,budget_cutoff,470.0,419.0,0.0,11,0,,,
