episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum,planner_intervention_count,all_actions_unsafe_count,beam_search_runs,beam_vetoes,beam_all_forced_death
0,1635,117.0,7,1635,0.902263,0.0,True,False,wall,70.0,57.0,-10.0,265,1,26,0,0
1,3635,112.0,6,2000,0.847298,0.0,False,True,timeout,60.0,52.0,0.0,197,0,34,0,0
2,5352,69.0,5,1717,0.802947,0.0,True,False,body,50.0,29.0,-10.0,185,1,39,0,1
3,6442,76.0,5,1090,0.776081,0.0,True,False,body,50.0,36.0,-10.0,180,1,36,0,1
4,8083,91.0,5,1641,0.737431,0.0,True,False,body,50.0,51.0,-10.0,201,1,62,0,0
5,9144,39.0,3,1061,0.713544,0.0,True,False,body,30.0,19.0,-10.0,60,1,23,0,1
6,11144,265.0,15,2000,0.67075,0.1838,False,True,timeout,150.0,115.0,0.0,123,0,44,1,1
7,11423,126.0,8,279,0.665004,0.1451,True,False,body,80.0,56.0,-10.0,6,1,4,0,0
8,11860,154.0,8,437,0.65611,0.142,True,False,body,80.0,84.0,-10.0,26,1,18,0,0
9,12434,278.0,15,574,0.644623,0.1325,True,False,body,150.0,138.0,-10.0,45,1,20,0,1
10,12866,273.0,14,432,0.636122,0.1263,True,False,body,140.0,143.0,-10.0,40,1,21,0,0
11,13039,102.0,6,173,0.632752,0.15,True,False,body,60.0,52.0,-10.0,9,1,5,0,1
12,13262,105.0,7,223,0.628436,0.1374,True,False,body,70.0,45.0,-10.0,11,1,1,0,0
13,13413,79.0,5,151,0.625532,0.1527,True,False,body,50.0,39.0,-10.0,6,1,2,0,0
14,14186,453.0,23,773,0.610892,0.1544,True,False,body,230.0,233.0,-10.0,91,1,38,0,1
15,14503,167.0,11,317,0.604996,0.1823,True,False,body,110.0,67.0,-10.0,21,1,12,0,0
16,15197,387.0,20,694,0.592305,0.1739,True,False,body,200.0,197.0,-10.0,68,1,38,0,1
17,15708,286.0,14,511,0.583146,0.1643,True,False,body,140.0,156.0,-10.0,46,1,30,0,0
18,15934,162.0,9,226,0.579144,0.1605,True,False,body,90.0,82.0,-10.0,9,1,4,0,0
19,16614,380.0,19,680,0.567285,0.1735,True,False,body,190.0,200.0,-10.0,39,1,26,1,2
20,16883,115.0,7,269,0.562668,0.1662,True,False,body,70.0,55.0,-10.0,22,1,12,0,3
21,17592,408.0,20,709,0.550694,0.1766,True,False,body,200.0,218.0,-10.0,75,1,55,0,1
22,17708,103.0,6,116,0.548762,0.176,True,False,body,60.0,53.0,-10.0,1,1,0,0,0
