episode,env_steps_total,episode_reward,score,survival_steps,epsilon,loss_mean,terminated,truncated,death_reason,fruit_reward_sum,distance_shaping_reward_sum,death_penalty_sum
0,61,-18.0,0,61,0.949421,0.0,True,False,wall,0.0,-8.0,-10.0
1,124,-20.0,0,63,0.948823,0.0,True,False,wall,0.0,-10.0,-10.0
2,191,-16.0,0,67,0.948187,0.0,True,False,wall,0.0,-6.0,-10.0
3,214,-16.0,0,23,0.947969,0.0,True,False,wall,0.0,-6.0,-10.0
4,259,-16.0,0,45,0.947543,2.6023,True,False,wall,0.0,-6.0,-10.0
5,302,-14.0,0,43,0.947135,1.9671,True,False,wall,0.0,-4.0,-10.0
6,321,-10.0,0,19,0.946955,2.7535,True,False,wall,0.0,0.0,-10.0
7,351,-6.0,1,30,0.946671,5.0214,True,False,wall,10.0,-6.0,-10.0
8,395,-9.0,0,44,0.946255,3.0016,True,False,wall,0.0,1.0,-10.0
9,419,10.0,1,24,0.946028,3.065,True,False,wall,10.0,10.0,-10.0
10,448,-1.0,1,29,0.945754,3.6331,True,False,wall,10.0,-1.0,-10.0
11,472,-13.0,0,24,0.945527,3.2543,True,False,wall,0.0,-3.0,-10.0
12,570,-6.0,1,98,0.9446,2.0508,True,False,wall,10.0,-6.0,-10.0
13,653,-18.0,0,83,0.943817,2.2133,True,False,wall,0.0,-8.0,-10.0
14,672,-12.0,0,19,0.943637,3.0306,True,False,wall,0.0,-2.0,-10.0
15,754,-23.0,0,82,0.942864,1.6916,True,False,wall,0.0,-13.0,-10.0
16,772,-11.0,0,18,0.942694,1.2741,True,False,wall,0.0,-1.0,-10.0
17,794,-3.0,0,22,0.942487,1.2554,True,False,wall,0.0,7.0,-10.0
18,837,-16.0,0,43,0.942082,1.5018,True,False,wall,0.0,-6.0,-10.0
19,883,-23.0,0,46,0.941648,1.3267,True,False,wall,0.0,-13.0,-10.0
20,938,5.0,1,55,0.941131,1.5026,True,False,wall,10.0,5.0,-10.0
21,950,-7.0,0,12,0.941018,1.4749,True,False,wall,0.0,3.0,-10.0
22,984,-7.0,0,34,0.940698,1.4308,True,False,wall,0.0,3.0,-10.0
23,1029,-16.0,0,45,0.940275,1.4725,True,False,wall,0.0,-6.0,-10.0
24,1069,-2.0,1,40,0.939899,1.0943,True,False,wall,10.0,-2.0,-10.0
25,1146,-6.0,0,77,0.939175,1.0988,True,False,wall,0.0,4.0,-10.0
26,1163,-18.0,0,17,0.939015,1.0313,True,False,wall,0.0,-8.0,-10.0
27,1355,-21.0,0,192,0.937214,0.7956,True,False,wall,0.0,-11.0,-10.0
28,1378,-16.0,0,23,0.936999,0.6372,True,False,wall,0.0,-6.0,-10.0
29,1423,9.0,1,45,0.936577,0.7401,True,False,wall,10.0,9.0,-10.0
30,1457,-13.0,0,34,0.936259,0.9309,True,False,wall,0.0,-3.0,-10.0
31,1551,-15.0,0,94,0.935379,0.9172,True,False,wall,0.0,-5.0,-10.0
32,1624,9.0,1,73,0.934697,0.7694,True,False,wall,10.0,9.0,-10.0
33,1638,-6.0,1,14,0.934566,0.7891,True,False,wall,10.0,-6.0,-10.0
34,1669,3.0,1,31,0.934276,0.9437,True,False,wall,10.0,3.0,-10.0
35,1689,-19.0,0,20,0.934089,0.9185,True,False,wall,0.0,-9.0,-10.0
36,1727,-4.0,1,38,0.933734,1.0505,True,False,wall,10.0,-4.0,-10.0
37,1755,4.0,1,28,0.933473,1.2976,True,False,wall,10.0,4.0,-10.0
38,1775,-7.0,0,20,0.933286,1.3003,True,False,wall,0.0,3.0,-10.0
39,1805,-15.0,0,30,0.933006,1.4252,True,False,wall,0.0,-5.0,-10.0
40,1823,-9.0,0,18,0.932838,1.2986,True,False,wall,0.0,1.0,-10.0
41,1840,-8.0,0,17,0.93268,1.9204,True,False,wall,0.0,2.0,-10.0
42,1855,-16.0,0,15,0.93254,1.7268,True,False,wall,0.0,-6.0,-10.0
43,1870,-8.0,0,15,0.9324,2.9331,True,False,wall,0.0,2.0,-10.0
44,1896,-21.0,0,26,0.932158,2.1094,True,False,wall,0.0,-11.0,-10.0
45,1933,-18.0,0,37,0.931813,1.6027,True,False,wall,0.0,-8.0,-10.0
46,2002,-16.0,0,69,0.93117,1.0564,True,False,wall,0.0,-6.0,-10.0
47,2018,-9.0,0,16,0.931021,0.9955,True,False,wall,0.0,1.0,-10.0
48,2037,3.0,1,19,0.930844,0.941,True,False,wall,10.0,3.0,-10.0
49,2072,-12.0,0,35,0.930519,0.8461,True,False,wall,0.0,-2.0,-10.0
50,2095,-22.0,0,23,0.930305,0.8493,True,False,wall,0.0,-12.0,-10.0
51,2113,-7.0,0,18,0.930137,0.8398,True,False,wall,0.0,3.0,-10.0
52,2127,-1.0,0,14,0.930007,0.7815,True,False,wall,0.0,9.0,-10.0
53,2153,-2.0,1,26,0.929765,0.9618,True,False,wall,10.0,-2.0,-10.0
54,2188,-6.0,0,35,0.92944,0.9324,True,False,wall,0.0,4.0,-10.0
55,2208,-21.0,0,20,0.929254,0.8988,True,False,wall,0.0,-11.0,-10.0
56,2308,-17.0,0,100,0.928325,0.797,True,False,wall,0.0,-7.0,-10.0
57,2338,-17.0,0,30,0.928047,0.8125,True,False,wall,0.0,-7.0,-10.0
58,2354,-11.0,0,16,0.927898,0.8356,True,False,wall,0.0,-1.0,-10.0
59,2407,-20.0,0,53,0.927407,0.7781,True,False,wall,0.0,-10.0,-10.0
60,2422,-8.0,0,15,0.927267,0.7023,True,False,wall,0.0,2.0,-10.0
61,2546,3.0,0,124,0.926118,0.7434,True,False,wall,0.0,13.0,-10.0
62,2563,-4.0,0,17,0.925961,0.7881,True,False,wall,0.0,6.0,-10.0
63,2695,8.0,1,132,0.924739,0.7104,True,False,wall,10.0,8.0,-10.0
64,2773,-13.0,0,78,0.924018,0.7585,True,False,wall,0.0,-3.0,-10.0
65,2786,-18.0,0,13,0.923898,0.7557,True,False,wall,0.0,-8.0,-10.0
66,2812,-3.0,0,26,0.923658,0.6952,True,False,wall,0.0,7.0,-10.0
67,2843,-10.0,0,31,0.923372,0.7605,True,False,wall,0.0,0.0,-10.0
68,2873,-13.0,0,30,0.923095,0.6987,True,False,wall,0.0,-3.0,-10.0
69,2916,8.0,2,43,0.922698,0.6503,True,False,wall,20.0,-2.0,-10.0
70,2946,-11.0,0,30,0.922421,0.8098,True,False,wall,0.0,-1.0,-10.0
71,2991,18.0,2,45,0.922006,0.8759,True,False,wall,20.0,8.0,-10.0
72,3041,-15.0,0,50,0.921545,0.7499,True,False,wall,0.0,-5.0,-10.0
73,3064,-6.0,0,23,0.921333,0.6552,True,False,wall,0.0,4.0,-10.0
74,3106,-13.0,0,42,0.920947,0.6699,True,False,wall,0.0,-3.0,-10.0
75,3138,-21.0,0,32,0.920652,0.6409,True,False,wall,0.0,-11.0,-10.0
76,3179,-8.0,0,41,0.920274,0.7413,True,False,wall,0.0,2.0,-10.0
77,3219,-17.0,0,40,0.919906,0.8034,True,False,wall,0.0,-7.0,-10.0
78,3289,-4.0,1,70,0.919263,0.716,True,False,wall,10.0,-4.0,-10.0
79,3312,2.0,0,23,0.919051,0.7595,True,False,wall,0.0,12.0,-10.0
80,3333,-18.0,0,21,0.918858,0.8753,True,False,wall,0.0,-8.0,-10.0
81,3369,-17.0,0,36,0.918528,0.9749,True,False,wall,0.0,-7.0,-10.0
82,3416,-6.0,0,47,0.918096,0.8987,True,False,wall,0.0,4.0,-10.0
83,3451,-20.0,0,35,0.917775,1.1488,True,False,wall,0.0,-10.0,-10.0
84,3464,-20.0,0,13,0.917655,1.2683,True,False,wall,0.0,-10.0,-10.0
85,3558,-19.0,0,94,0.916793,0.8042,True,False,wall,0.0,-9.0,-10.0
86,3584,-7.0,0,26,0.916555,0.9319,True,False,wall,0.0,3.0,-10.0
87,3618,-2.0,1,34,0.916243,1.197,True,False,wall,10.0,-2.0,-10.0
88,3654,-19.0,0,36,0.915914,1.1617,True,False,wall,0.0,-9.0,-10.0
89,3687,-4.0,0,33,0.915611,0.8791,True,False,wall,0.0,6.0,-10.0
90,3803,-17.0,0,116,0.91455,1.0916,True,False,wall,0.0,-7.0,-10.0
91,3854,-18.0,0,51,0.914084,0.926,True,False,wall,0.0,-8.0,-10.0
92,3945,-4.0,0,91,0.913252,0.9636,True,False,wall,0.0,6.0,-10.0
93,3971,17.0,2,26,0.913015,1.0176,True,False,wall,20.0,7.0,-10.0
94,4065,-9.0,0,94,0.912157,0.9589,True,False,wall,0.0,1.0,-10.0
95,4107,-5.0,0,42,0.911774,0.9926,True,False,wall,0.0,5.0,-10.0
96,4131,-5.0,0,24,0.911555,0.9728,True,False,wall,0.0,5.0,-10.0
97,4141,-3.0,0,10,0.911464,1.0656,True,False,wall,0.0,7.0,-10.0
